SampleId_1404,Region_1404,Group_1404,OriginalSampleName_1404,SampleId_1394,Region_1394,Group_1394,OriginalSampleName_1394,Distance,SameRegion
19,اراک,G4,04-15,36,فارس,G7,94-32,1029.1334373688678,False
19,اراک,G4,04-15,37,قم,G8,94-33,1117.170688029362,False
19,اراک,G4,04-15,39,یزد,G9,94-35,1069.1283417669342,False
19,اراک,G4,04-15,40,یزد,G9,94-36,860.296706778792,False
21,خراسان شمالی,G5,04-3,1,سمنان,G1,94-1,2298.0431767540103,False
21,خراسان شمالی,G5,04-3,2,سمنان,G1,94-2,2300.3825515598583,False
21,خراسان شمالی,G5,04-3,4,اصفهان,G2,94-5,1996.5285647930057,False
21,خراسان شمالی,G5,04-3,9,زنجان,G3,94-7,1904.2632703431161,False
21,خراسان شمالی,G5,04-3,10,زنجان,G3,94-8,1890.3822391468093,False
21,خراسان شمالی,G5,04-3,13,اراک,G4,94-9,1856.6604029063392,False
21,خراسان شمالی,G5,04-3,20,خراسان شمالی,G5,94-13,3303.2967042846994,True
21,خراسان شمالی,G5,04-3,24,خراسان رضوی,G6,94-21,2569.738571928304,False
21,خراسان شمالی,G5,04-3,25,خراسان رضوی,G6,94-22,2099.3317824117325,False
21,خراسان شمالی,G5,04-3,26,خراسان رضوی,G6,94-25,2166.483997229383,False
21,خراسان شمالی,G5,04-3,27,خراسان رضوی,G6,94-26,2284.2576019025564,False
21,خراسان شمالی,G5,04-3,28,خراسان رضوی,G6,94-27,2353.4242980011436,False
21,خراسان شمالی,G5,04-3,29,خراسان رضوی,G6,94-28,2367.6011921125787,False
21,خراسان شمالی,G5,04-3,34,فارس,G7,94-30,2383.2735969698397,False
21,خراسان شمالی,G5,04-3,36,فارس,G7,94-32,2402.9431758247288,False
21,خراسان شمالی,G5,04-3,37,قم,G8,94-33,2035.6769583390128,False
21,خراسان شمالی,G5,04-3,39,یزد,G9,94-35,2246.35284135654,False
21,خراسان شمالی,G5,04-3,40,یزد,G9,94-36,2892.6605702401357,False
22,خراسان شمالی,G5,04-12,1,سمنان,G1,94-1,913.8036313907351,False
22,خراسان شمالی,G5,04-12,2,سمنان,G1,94-2,863.321746769049,False
22,خراسان شمالی,G5,04-12,4,اصفهان,G2,94-5,751.7982143619292,False
22,خراسان شمالی,G5,04-12,9,زنجان,G3,94-7,444.94821925829297,False
22,خراسان شمالی,G5,04-12,10,زنجان,G3,94-8,997.1392589533987,False
22,خراسان شمالی,G5,04-12,13,اراک,G4,94-9,393.35102114916236,False
22,خراسان شمالی,G5,04-12,20,خراسان شمالی,G5,94-13,2221.103838572429,True
22,خراسان شمالی,G5,04-12,24,خراسان رضوی,G6,94-21,1542.9399426884152,False
22,خراسان شمالی,G5,04-12,25,خراسان رضوی,G6,94-22,771.9051650374877,False
22,خراسان شمالی,G5,04-12,26,خراسان رضوی,G6,94-25,1149.6518440692987,False
22,خراسان شمالی,G5,04-12,27,خراسان رضوی,G6,94-26,867.4474763938592,False
22,خراسان شمالی,G5,04-12,28,خراسان رضوی,G6,94-27,1569.7525203476034,False
22,خراسان شمالی,G5,04-12,29,خراسان رضوی,G6,94-28,1062.343116253325,False
22,خراسان شمالی,G5,04-12,34,فارس,G7,94-30,1462.1607077806852,False
22,خراسان شمالی,G5,04-12,36,فارس,G7,94-32,1246.3409637462382,False
22,خراسان شمالی,G5,04-12,37,قم,G8,94-33,509.45661317591026,False
22,خراسان شمالی,G5,04-12,39,یزد,G9,94-35,1220.3459541222105,False
22,خراسان شمالی,G5,04-12,40,یزد,G9,94-36,1442.8920406377347,False
23,خراسان شمالی,G5,04-23,1,سمنان,G1,94-1,2175.3956914287396,False
23,خراسان شمالی,G5,04-23,2,سمنان,G1,94-2,1970.2288993980812,False
23,خراسان شمالی,G5,04-23,4,اصفهان,G2,94-5,2284.6627221836097,False
23,خراسان شمالی,G5,04-23,9,زنجان,G3,94-7,2462.73525065273,False
23,خراسان شمالی,G5,04-23,10,زنجان,G3,94-8,1897.8011741225716,False
23,خراسان شمالی,G5,04-23,13,اراک,G4,94-9,2230.1752317733667,False
23,خراسان شمالی,G5,04-23,20,خراسان شمالی,G5,94-13,1932.6646084643955,True
23,خراسان شمالی,G5,04-23,24,خراسان رضوی,G6,94-21,913.2533383910982,False
23,خراسان شمالی,G5,04-23,25,خراسان رضوی,G6,94-22,1851.8439972750252,False
23,خراسان شمالی,G5,04-23,26,خراسان رضوی,G6,94-25,1756.833169445216,False
23,خراسان شمالی,G5,04-23,27,خراسان رضوی,G6,94-26,1842.1351804880076,False
23,خراسان شمالی,G5,04-23,28,خراسان رضوی,G6,94-27,902.0109799292547,False
23,خراسان شمالی,G5,04-23,29,خراسان رضوی,G6,94-28,1913.6621626060803,False
23,خراسان شمالی,G5,04-23,34,فارس,G7,94-30,883.3133159029694,False
23,خراسان شمالی,G5,04-23,36,فارس,G7,94-32,2347.3480673904237,False
23,خراسان شمالی,G5,04-23,37,قم,G8,94-33,2294.8830694690205,False
23,خراسان شمالی,G5,04-23,39,یزد,G9,94-35,1144.6712330339421,False
23,خراسان شمالی,G5,04-23,40,یزد,G9,94-36,2160.2719458547144,False
30,خراسان رضوی,G6,04-1,1,سمنان,G1,94-1,1071.4994945378662,False
30,خراسان رضوی,G6,04-1,2,سمنان,G1,94-2,905.534767436874,False
30,خراسان رضوی,G6,04-1,4,اصفهان,G2,94-5,1121.27660280131,False
30,خراسان رضوی,G6,04-1,9,زنجان,G3,94-7,977.4511047739395,False
30,خراسان رضوی,G6,04-1,10,زنجان,G3,94-8,1411.891029652205,False
30,خراسان رضوی,G6,04-1,13,اراک,G4,94-9,1036.8022792152606,False
30,خراسان رضوی,G6,04-1,20,خراسان شمالی,G5,94-13,2217.6574413186468,False
