ppm,reference_mean,target_mean,mean_difference,standardized_effect,absolute_effect
6.43195,2.0964248465163604,-0.28022328048192285,-2.3766481269982833,-9.429445599451805,9.429445599451805
6.34195,3.2950522868259666,-0.18973964757192802,-3.4847919343978946,-9.42922504706416,9.42922504706416
5.57496,3.0924611714268355,-0.36682987515267695,-3.4592910465795126,-9.377615557564711,9.377615557564711
5.51696,1.3743240208116592,-0.3580093842985266,-1.7323334051101857,-9.367024080856268,9.367024080856268
5.60696,1.3782996096951052,-0.37007565517817825,-1.7483752648732835,-9.355319978964417,9.355319978964417
6.26696,1.1774233365068216,-0.3136659037128222,-1.4910892402196438,-9.339665513837076,9.339665513837076
5.57596,3.006194165890579,-0.36811415569857187,-3.374308321589151,-9.337231099934932,9.337231099934932
6.34795,3.4352853024390724,-0.19153925521163956,-3.626824557650712,-9.316324369625118,9.316324369625118
6.26496,1.2277957864980762,-0.31875784715192906,-1.5465536336500052,-9.308680053180286,9.308680053180286
5.63396,0.44608826131590296,-0.37455141114216134,-0.8206396724580642,-9.308484278177282,9.308484278177282
6.25096,1.318436657021131,-0.29934895970436676,-1.6177856167254978,-9.29936117934138,9.29936117934138
5.59596,1.8799553043107906,-0.3704825112980912,-2.2504378156088816,-9.282164062727041,9.282164062727041
6.34295,3.3243454148989016,-0.19245549189154876,-3.51680090679045,-9.2661164845528,9.2661164845528
6.25496,1.4086090505866342,-0.2975658131018703,-1.7061748636885046,-9.168568672575033,9.168568672575033
8.80794,-0.9413085237946539,-0.38409443600296406,0.5572140877916898,9.159085128084671,9.159085128084671
5.58996,2.0701398929052095,-0.35556420848026304,-2.4257041013854725,-9.154583950953507,9.154583950953507
5.51996,1.5875135872820967,-0.3639142887137769,-1.9514278759958736,-9.144383912525312,9.144383912525312
8.38994,0.3444821324294642,-0.33804697563314473,-0.6825291080626089,-9.131982892396014,9.131982892396014
6.25396,1.402862556553296,-0.3086000314535018,-1.7114625880067977,-9.111012527814255,9.111012527814255
8.50994,-0.9269314915768544,-0.3765191946630424,0.550412296913812,9.107538507717598,9.107538507717598
5.51596,1.3563503724592478,-0.3604552705811548,-1.7168056430404026,-9.106006384545546,9.106006384545546
5.64796,0.19380271619211153,-0.3824465346812467,-0.5762492508733582,-9.093830917607432,9.093830917607432
6.24696,1.2668516784583805,-0.2857951692836515,-1.552646847742032,-9.07229545880656,9.07229545880656
8.94394,-0.9607576978944647,-0.3770521463835356,0.5837055515109291,9.065984297209104,9.065984297209104
6.33995,3.233019126841225,-0.19219478850893307,-3.425213915350158,-9.058838313492561,9.058838313492561
6.34895,3.432360338884309,-0.18909614413638448,-3.6214564830206935,-9.024161059960647,9.024161059960647
5.60596,1.4383974018217458,-0.3698571137125845,-1.8082545155343304,-8.964663445756711,8.964663445756711
6.43295,2.077608197661648,-0.271203547504354,-2.348811745166002,-8.958422059372078,8.958422059372078
6.27596,1.267687166130383,-0.3238084982763411,-1.5914956644067242,-8.954687384969203,8.954687384969203
6.29695,1.7627870550291385,-0.24526771125945673,-2.0080547662885952,-8.941779734090884,8.941779734090884
5.64696,0.16990544373693708,-0.37720947057829757,-0.5471149143152346,-8.927181205370504,8.927181205370504
5.62096,0.8325585780746636,-0.3697397993508259,-1.2022983774254894,-8.917253851460902,8.917253851460902
7.24695,0.8129668290060232,-0.16339147266090848,-0.9763583016669317,-8.8823017243815,8.8823017243815
5.60396,1.4728850703433736,-0.362728457183784,-1.8356135275271575,-8.879408618906155,8.879408618906155
8.64494,-0.9275095048324823,-0.38461618958847554,0.5428933152440067,8.834852385128634,8.834852385128634
5.58596,2.29972165963461,-0.3632007188194694,-2.662922378454079,-8.824258611833894,8.824258611833894
5.52296,1.7349058020331198,-0.36554383988824374,-2.1004496419213634,-8.819693070417678,8.819693070417678
