Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,Split,Repeat,Fold,Accuracy,BalancedAccuracy,MacroF1
PLS-DA,4,SNV,snv,308 nm,11,6,1,0.2,0.19696969696969696,0.14393939393939392
PLS-DA,4,SNV,snv,308 nm,12,6,2,0.2,0.125,0.08658008658008658
PLS-DA,4,SNV,snv,308 nm,13,7,1,0.25,0.2196969696969697,0.13333333333333333
PLS-DA,4,SNV,snv,308 nm,14,7,2,0.15,0.075,0.028708133971291863
PLS-DA,4,SNV,snv,308 nm,15,8,1,0.23809523809523808,0.22727272727272727,0.1396103896103896
PLS-DA,4,SNV,snv,308 nm,16,8,2,0.2631578947368421,0.15,0.10818181818181818
PLS-DA,4,SNV,snv,308 nm,17,9,1,0.14285714285714285,0.1590909090909091,0.06955922865013774
PLS-DA,4,SNV,snv,308 nm,18,9,2,0.21052631578947367,0.11666666666666665,0.06336088154269973
PLS-DA,4,SNV,snv,308 nm,19,10,1,0.3333333333333333,0.2727272727272727,0.19112554112554114
PLS-DA,4,SNV,snv,308 nm,20,10,2,0.2631578947368421,0.20833333333333331,0.16666666666666666
PLS-DA,4,SNV,snv,308 nm,21,11,1,0.3,0.19696969696969696,0.15800865800865802
PLS-DA,4,SNV,snv,308 nm,22,11,2,0.3,0.2333333333333333,0.16233766233766234
PLS-DA,4,SNV,snv,308 nm,23,12,1,0.23809523809523808,0.20454545454545456,0.13636363636363635
PLS-DA,4,SNV,snv,308 nm,24,12,2,0.2631578947368421,0.21666666666666665,0.17936507936507934
PLS-DA,4,SNV,snv,308 nm,25,13,1,0.2,0.18181818181818182,0.12727272727272726
PLS-DA,4,SNV,snv,308 nm,26,13,2,0.35,0.2833333333333333,0.20707070707070707
PLS-DA,4,SNV,snv,308 nm,27,14,1,0.19047619047619047,0.17424242424242423,0.09264069264069263
PLS-DA,4,SNV,snv,308 nm,28,14,2,0.21052631578947367,0.125,0.08311688311688312
PLS-DA,4,SNV,snv,308 nm,29,15,1,0.14285714285714285,0.1515151515151515,0.06818181818181818
PLS-DA,4,SNV,snv,308 nm,30,15,2,0.15789473684210525,0.1,0.06666666666666667
PLS-DA,4,SNV,snv,308 nm,31,16,1,0.2857142857142857,0.2424242424242424,0.1691197691197691
PLS-DA,4,SNV,snv,308 nm,32,16,2,0.21052631578947367,0.1,0.06216006216006216
PLS-DA,4,SNV,snv,308 nm,33,17,1,0.35,0.2803030303030303,0.19112554112554114
PLS-DA,4,SNV,snv,308 nm,34,17,2,0.35,0.25,0.18181818181818182
PLS-DA,4,SNV,snv,308 nm,35,18,1,0.25,0.2121212121212121,0.12770562770562768
PLS-DA,4,SNV,snv,308 nm,36,18,2,0.3,0.25,0.16666666666666666
PLS-DA,4,SNV,snv,308 nm,37,19,1,0.35,0.28787878787878785,0.2606060606060606
PLS-DA,4,SNV,snv,308 nm,38,19,2,0.25,0.2,0.1463990554899646
PLS-DA,4,SNV,snv,308 nm,39,20,1,0.25,0.18181818181818182,0.08181818181818182
PLS-DA,4,SNV,snv,308 nm,40,20,2,0.15,0.15,0.09848484848484848
