SampleId,ActualClass,Year,Normalization,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
33,G6,1404,Raw,250 nm,-861795.5831443574,35974.08846669108,14729.500469693345,-7401.920053402028,-8253.130124509344,-2736.8115057629434,-2289.5818115761585,1249.0690679305214,630.4130347997373,1175.8368068200841
34,G7,1394,Raw,250 nm,1710644.312445239,-1283637.4468369926,37999.9132007843,-150314.20785031235,-39684.944028684775,-79373.53927633721,-16296.964303504745,19071.932661874718,-10687.19318957579,28097.63923497681
36,G7,1394,Raw,250 nm,2342825.061663983,-16070.93774294582,198161.57032956264,-20288.47557055231,-96976.72418919008,734.1628130348811,-51580.30548747421,35902.849214650465,49536.83123615102,-35636.38403352452
37,G8,1394,Raw,250 nm,1868810.946817315,1023379.5789925904,-458256.8756914099,-14236.119413313578,-157215.2555865022,-96918.93604799238,-61051.44700779646,-8753.677245443283,-43726.86302930892,-48510.053047611895
38,G8,1404,Raw,250 nm,-861795.5795546571,35974.088224903026,14729.499780693191,-7401.941512118738,-8253.132314721677,-2736.789511144831,-2289.594732970557,1249.0768019573977,630.388978754381,1175.81091566053
39,G9,1394,Raw,250 nm,1244725.329423326,110112.48652795395,66341.94107752964,373093.2005450564,-50958.231846019895,12221.977042064003,31024.994481062706,29091.8559990328,-88171.61670972656,62827.03041907471
40,G9,1394,Raw,250 nm,2026374.2505983675,40318.17210916995,334235.7824489706,106880.16222173747,-126543.40096433251,49821.133982195664,-59557.367229126576,-10421.274208338753,26965.326882235484,-31460.66850995039
41,G10,1404,Raw,250 nm,-861795.5887788952,35974.08637947752,14729.505977686907,-7401.924369108863,-8253.158966181265,-2736.821467753081,-2289.581266328733,1248.9984618101564,630.3801654079356,1175.8448777169697
42,G10,1404,Raw,250 nm,-861795.5834279564,35974.084915972955,14729.502836256057,-7401.912605940152,-8253.15197512146,-2736.808344465524,-2289.5709603506375,1249.051067765582,630.3978329167273,1175.8499470493994
43,G11,1404,Raw,250 nm,-861795.5952497533,35974.09211154515,14729.511528246714,-7401.942459395114,-8253.15431256049,-2736.829287559969,-2289.5981876806413,1248.9713658913201,630.373505696627,1175.8336109370305
44,G11,1404,Raw,250 nm,-861795.5939759287,35974.09083866287,14729.51164420413,-7401.935257496399,-8253.152834070186,-2736.821668953965,-2289.5948667486196,1248.9934759251796,630.3783336076052,1175.833381855352
1,G1,1394,Raw,308 nm,805586.125860875,-503814.0730379833,-256078.82581965614,116733.79394968762,-130507.22623797016,23855.64481284098,-160715.67112943914,-278674.41560484294,30292.97942853681,-134862.32549563097
3,G1,1404,Raw,308 nm,-319135.58138957724,-27672.1091143318,33861.77619641656,-25844.838648798126,-15260.872914609778,-12.53916228806418,-9120.634144999141,-7822.103059487279,-4975.590530387153,-4419.68569730982
4,G2,1394,Raw,308 nm,777395.7503153096,-135167.263328281,578677.1393777486,68281.31831674995,-196307.14227189572,-18649.59325871272,382732.5144895292,164115.6901412962,-151487.16085654587,13123.171544795758
