SampleId,ActualClass,Year,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
15,G4,1404,308 nm,20.60783598319684,-1.57123788514341,-10.305867261689915,1.4319078202075433,-1.9984791764862961,2.7894437463164476,-0.15630183628616917,0.3515844122641454,1.267435572630877,-0.3752106468616585
16,G4,1404,308 nm,19.504270359105593,-1.2667106244131638,-10.358052694027505,0.7232396416119421,-3.0658285490330957,0.2315589115150414,-1.3195660675484255,1.2748401195076855,0.7991234757129952,-0.9459585680715593
17,G4,1404,308 nm,-4.783281573379397,11.391135098475607,2.925188752927208,-4.496647893402472,3.933303737366412,4.100059344683068,-3.352711678018914,-2.2877979765665835,1.2100646490589084,-0.5166871404027014
18,G4,1404,308 nm,-17.76459379541797,-23.615043599794863,-4.929269831451381,-9.356998600902138,0.00839132377056083,-0.13576257786484977,-1.343556204873821,-0.06167218307759852,-1.334960961554356,1.7422148904937427
19,G4,1404,308 nm,19.628030304155327,2.7094299319603588,-5.58802108458138,-0.16581275113622973,3.584321211965805,3.0868428156686996,5.732485114602931,-0.6512075485076972,-1.1034216019279537,-0.3071637646384417
21,G5,1404,308 nm,14.08622008480946,-12.42662384644777,8.131435024680497,2.525633263866623,1.2193226114990279,-4.8626121811324765,-5.2360400926253075,-2.5973594446111776,-1.6622194790733407,-1.1799042554185921
22,G5,1404,308 nm,8.599617910179658,-4.4007244566056505,13.130080894670275,-0.6545154189887444,4.483455074658407,-3.0790590407571954,0.6140995396578449,-0.20338787215928278,-0.8901775498603908,-1.6963093213696792
23,G5,1404,308 nm,-15.616306311457228,15.438443014142623,-10.423470276079629,-0.6274219919996267,-0.4174121081990036,-1.373001517004492,-2.3056115871133005,2.074012202250059,-2.7160607408953603,0.2815338932740586
30,G6,1404,308 nm,-6.152178919573694,-2.8476659626166088,13.085912340918389,4.554840928634674,-1.6321363093417467,0.9758763877228813,-0.2014576712607423,1.7701053022377937,0.8143083542848681,4.250223375323419
31,G6,1404,308 nm,11.565065421808988,-1.6029241715595046,9.860665241558303,-0.5844437001569416,6.782976209912355,0.6728442056640708,0.4209719854265046,-1.5030128274424226,-0.47159027715243684,0.9644306868917318
32,G6,1404,308 nm,-24.190304101081495,-6.174723410275408,2.898358516984637,10.880178567830725,0.3811816301798775,3.098537404256755,3.1386641702211886,1.1096641855544356,-3.731959636856902,-1.1306742964706746
33,G6,1404,308 nm,-14.781522787318217,4.3350146281665385,6.680418606773537,2.6124198550665643,0.5869466635799103,6.385385613852238,-1.4284302352707823,-0.06432643224911674,0.3473174524970699,1.212268988676382
38,G8,1404,308 nm,-20.4115750553453,-25.146116717964635,-7.578457928525204,-8.626628465317436,-0.3280059598119267,1.3915945269348213,2.0233772257658162,0.581299925017393,1.235756746611359,-1.0735274673649455
41,G10,1404,308 nm,7.3800811615110105,8.241893736187683,-2.69574785057853,-3.3443705119445912,-6.5725290552560365,-6.839300293644657,1.6307456795735353,-0.12125559168469228,-0.5395900765864257,2.0621301421495866
42,G10,1404,308 nm,11.907149902584118,-1.131822145126471,5.150991148523568,0.5964437169563293,-3.4563073770064365,-3.0033483703538484,2.7949759593375765,-0.5512093898408127,0.7378127965074013,1.9124345723029261
