ppm,PC1_loading
5.60296,-0.008188312514719943
5.60396,-0.008137065545044538
5.60496,-0.00771819578531821
5.60596,-0.008080749681378792
5.60696,-0.007590060672266748
5.60796,-0.006932605384731142
5.60896,-0.006395432884751181
5.60996,-0.0059511095367376305
5.61096,-0.0060272034577573495
5.61196,-0.0059807288231097065
5.61296,-0.005870849862786885
5.61396,-0.005412370982627605
5.61496,-0.005396344381074623
5.61596,-0.00486405782251995
5.61696,-0.0050967220012528265
5.61796,-0.0049009110383899735
5.61896,-0.004571527257064167
5.61996,-0.005506332218067635
5.62096,-0.005776500354471308
5.62196,-0.005270680287811543
5.62296,-0.0052184393715632525
5.62396,-0.004701360910138876
5.62496,-0.0044940210149030865
5.62596,-0.00348871373803396
5.62696,-0.003681626113100052
5.62796,-0.003401387416246949
5.62896,-0.00417524475955072
5.62996,-0.00449117093124673
5.63096,-0.003724353980481445
5.63196,-0.004114359879700112
5.63296,-0.004721761793141731
5.63396,-0.004622236893267687
5.63496,-0.004800410878866354
5.63596,-0.004721415229033331
5.63696,-0.003759894495714409
5.63796,-0.0037490255635213147
5.63896,-0.0027252430984435454
5.63996,-0.0027060872849474977
5.64096,-0.0038529159799972966
5.64196,-0.00468001925424867
5.64296,-0.004207581667185307
5.64396,-0.002525012419600828
5.64496,-0.002909380219677212
5.64596,-0.002718561703086724
5.64696,-0.0016919496894479183
5.64796,-0.0011216975019706628
5.64896,-0.0002665335571933602
5.64996,4.0628970506415e-06
5.65096,-0.000981218589773291
5.65196,-0.0013111780188112317
5.65296,-0.0020694118753177286
5.65396,-0.001753133785000156
5.65496,-0.00177223572990582
5.65596,-0.0010479561660298633
5.65696,-0.0020408203511475577
5.65796,-0.003386843238762484
5.65896,-0.004692599973058686
5.65996,-0.004254194746746757
5.66096,-0.004691091619763224
5.66196,-0.004354337232644829
5.66296,-0.0038101693452226733
5.66396,-0.004247049014922024
5.66496,-0.004197201840103353
5.66596,-0.0034367760513416517
5.66696,-0.0037903987666360306
5.66796,-0.0043503858366137765
5.66896,-0.004405553392686167
5.66996,-0.004364548397224104
5.67096,-0.004071721814965456
5.67196,-0.004445811641253465
5.67296,-0.004350482587436261
5.67396,-0.00382815646768972
5.67496,-0.00403115146291771
5.67596,-0.004251121135680436
5.67696,-0.003850838316772687
5.67796,-0.004729940403218883
5.67896,-0.004111009048041409
5.67996,-0.0051961416094109805
5.68096,-0.005083171850035971
5.68196,-0.0041309117324417055
5.68296,-0.003968893117969241
5.68396,-0.005202281272558576
5.68496,-0.004738927762973479
5.68596,-0.004065941832395694
5.68696,-0.004554110095391421
5.68796,-0.005066601129307385
5.68896,-0.006369436473662106
5.68996,-0.007786021732489205
5.69096,-0.007779088422757203
5.69196,-0.007094305548983259
5.69296,-0.006745167890030406
5.69396,-0.006699806358076913
5.69496,-0.0063751536009131245
5.69596,-0.00804651253408897
5.69696,-0.008395804425476041
5.69796,-0.00819023608343835
5.69896,-0.008508446703663481
5.69996,-0.007843541293562349
5.70096,-0.008047623442645454
5.70196,-0.00736826370799851
5.70296,-0.0067389026471782855
5.70396,-0.00586658701532232
5.70496,-0.007298408076932133
5.70596,-0.0075070522197100645
5.70696,-0.007180806672561903
5.70796,-0.006410042811936192
5.70896,-0.007419103247509427
5.70996,-0.008050434526859655
5.71096,-0.008192629268333487
5.71196,-0.008385780471388597
5.71296,-0.008130797864854218
5.71396,-0.007073938576755343
5.71496,-0.00652926909789022
5.71596,-0.005865402313611793
5.71696,-0.0056948546008517556
5.71796,-0.004797897256317234
5.71896,-0.003444784611848555
5.71996,-0.003264330807793741
5.72096,-0.004433792486863707
5.72196,-0.004938011714163208
5.72296,-0.0038584686765024993
5.72396,-0.0035467310737007924
5.72496,-0.0036269805789832773
5.72596,-0.0035685415067527922
5.72696,-0.005078584929785796
5.72796,-0.0049586171110167394
5.72896,-0.004362472359788299
5.72996,-0.004658854352105011
5.73096,-0.005225263536517575
5.73196,-0.005734501699620287
5.73296,-0.006432996294130971
5.73396,-0.0066925905020332075
5.73496,-0.006615468246053318
5.73596,-0.00720722308116492
5.73696,-0.007828965806252157
5.73796,-0.00773387227430472
5.73896,-0.007750103790942778
5.73996,-0.0060999468911156615
5.74096,-0.006066745257624811
5.74196,-0.007607180220102359
5.74296,-0.00791663286515918
5.74396,-0.008291864786913626
5.74496,-0.007358492486151077
5.74596,-0.006816749103451241
5.74696,-0.006672506286654185
5.74796,-0.007021488599347826
5.74896,-0.006984300873558061
5.74996,-0.0067114796508894155
5.75096,-0.006520272170765983
5.75196,-0.006838696994829062
5.75296,-0.007173593714398986
5.75396,-0.007294299236601861
5.75496,-0.007784364458546693
5.75596,-0.008142755517230099
5.75696,-0.007783974369868006
5.75796,-0.007813239315720545
5.75896,-0.00807296626051473
5.75996,-0.008286853728878909
5.76096,-0.00788974452376962
5.76196,-0.008238936440356072
5.76296,-0.008697774111919026
5.76396,-0.009457795951749079
5.76496,-0.009876070119440125
5.76596,-0.010397465674845263
5.76696,-0.010072229012365022
5.76796,-0.010087074566430966
5.76896,-0.01089978460718993
5.76996,-0.010906725749325186
5.77096,-0.010988180952717573
5.77196,-0.009981794385271464
5.77296,-0.009013993622136071
5.77396,-0.009861846046290416
5.77496,-0.01049283615957293
5.77596,-0.010274493439813029
5.77696,-0.010387482295069517
5.77796,-0.010977774700685573
5.77896,-0.010850151622523665
5.77996,-0.011189077840042187
5.78096,-0.010965243862888954
5.78196,-0.011193049271987828
5.78296,-0.012097773025895401
5.78396,-0.01171980055740312
5.78496,-0.011605765059876592
5.78596,-0.011991371193293906
5.78696,-0.012353386724816917
5.78796,-0.01354046365889416
5.78896,-0.013860613886925215
5.78996,-0.013700672158846634
5.79096,-0.013222154136458813
5.79196,-0.013534148590424155
5.79296,-0.013748025903978401
5.79396,-0.01371994865860363
5.79496,-0.014359287810422516
5.79596,-0.01417530102252184
5.79696,-0.013804908638933897
5.79796,-0.01359606497786789
5.79896,-0.014118048531411789
5.79996,-0.013819375860085489
5.80096,-0.014094581920543026
5.80196,-0.014171803690237048
5.80296,-0.013875307135339474
5.80396,-0.013857530369667512
5.80496,-0.013516616085452857
5.80596,-0.013283603653219317
5.80696,-0.014080863402635925
5.80796,-0.014212640336294245
5.80896,-0.014472906721334097
5.80996,-0.015161724258366168
5.81096,-0.01527037650694223
5.81196,-0.014798578161183282
5.81296,-0.014840290842010707
5.81396,-0.014983812295059322
5.81496,-0.01502466216266611
5.81596,-0.015452403686126695
5.81696,-0.016219065668339947
5.81796,-0.017208782771020784
5.81896,-0.017505549973131588
5.81996,-0.01807506544000201
5.82096,-0.01886827324029294
5.82196,-0.01852171164052387
5.82296,-0.01868201016186738
5.82396,-0.0189791589658802
5.82496,-0.020263799497126554
5.82596,-0.020919247904458555
5.82696,-0.020998457294133244
5.82796,-0.020824119933578314
5.82896,-0.02119233649368133
5.82996,-0.021208456361095897
5.83096,-0.021304414144937764
5.83196,-0.021221673190121082
5.83296,-0.02124286422400459
5.83396,-0.021345557194670524
5.83496,-0.02133308272458638
5.83596,-0.021688714878786
5.83696,-0.021885005995245
5.83796,-0.021599310215214586
5.83896,-0.021821637871781274
5.83996,-0.022292907332629983
5.84096,-0.02276622790894394
5.84196,-0.023172740449048032
5.84296,-0.023624125664018666
5.84396,-0.02333863058435162
